state|current_phase|next_phase|last_update
Alabama|Gov. Kay Ivey announced that all individuals 16 and older are eligible for a vaccine starting April 5.||2021-04-12
Alaska|Every adult living or working in the state is eligible to receive a vaccine. Alaska became the first state to eliminate vaccine eligibility requirements for adults on March 9. ||2021-04-12
Arizona|Gov. Doug Ducey announced that all Arizonans 16 and older are eligible for a vaccine at state vaccination sites starting March 24.||2021-04-12
Arkansas|Gov. Asa Hutchinson announced that starting March 30, all individuals 16 and over are eligible for a vaccine in Arkansas.||2021-04-12
California|Individuals 50 and older, people in long-term care facilities, health care workers, people ages 16 to 64 with certain high-risk medical conditions, individuals who reside in high-risk settings, and some workers as defined in Phase 1b.|Gov. Gavin Newsom announced that anyone 16 and older will be eligible for a vaccine starting April 15. |2021-04-12
Colorado|Gov. Jared Polis announced that starting April 2, all individuals 16 and older are eligible for a vaccine.||2021-04-12
Connecticut|Gov. Ned Lamont announced that all adults over the age of 16 are eligible for a vaccine starting April 1. ||2021-04-12
Delaware|Gov. John Carney announced that starting April 6, individuals 16 and over are eligible for a vaccine in Delaware. ||2021-04-12
Florida|Gov. Ron DeSantis announced that Individuals 18 and older will be eligible for a vaccine starting April 5, while 16- and 17-year-olds are eligible at some locations.||2021-04-12
Georgia|Individuals age 16 and older are eligible for a vaccine in Georgia as of March 25. ||2021-04-12
Hawaii|Individuals ages 60 and over, health care workers, essential workers as defined by Phases 1b and 1c, individuals ages 16 to 64 with high-risk medical conditions, and those on dialysis are eligible for a vaccine in Hawaii. |All individuals 16 and older will be eligible for a vaccine by April 19.|2021-04-12
Idaho|Gov. Brad Little announced that all individuals 16 and older are eligible for a vaccine in Idaho starting April 5.||2021-04-12
Illinois|Gov. J.B. Pritzker announced that all individuals ages 16 and older are eligible for a vaccine in Illinois starting April 12.||2021-04-12
Indiana|Gov. Eric Holcomb announced that all individuals ages 16 and older are eligible for a vaccine in Indiana starting March 31. ||2021-04-12
Iowa|Gov. Kim Reynolds announced that individuals 16 and older are eligible for a vaccine in Iowa starting April 5.||2021-04-12
Kansas|Gov. Laura Kelly announced that all individuals 16 and over are eligible for a vaccine in Kansas as of March 29. ||2021-04-12
Kentucky|Gov. Andy Beshear announced that all individuals 16 and older are eligible for a vaccine in Kentucky starting April 5. ||2021-04-12
Louisiana|Gov. John Bel Edwards announced that individuals 16 and older are eligible for a vaccine in Louisiana starting March 29. ||2021-04-12
